Date,001M,002M,003M,006M,009M,012M,018M,024M,036M,048M,060M,084M,120M,180M,240M,300M,360M
20070220,5.146755369,5.392646055,5.182221571,5.122908458,5.125615302,4.996051549,4.861047218,4.810335548,4.720603289,4.683660661,4.664050653,4.662058361,4.676188832,4.708331513,4.740455433,4.764017849,4.77730535
20070221,5.146207742,5.306605477,5.191702919,5.134487138,5.160110456,5.015663141,4.885219488,4.829109704,4.73862358,4.700092795,4.68157061,4.681600647,4.691985905,4.722699291,4.754462783,4.777754264,4.790868018
20070222,5.154691879,5.221898033,5.196141999,5.149421436,5.162777457,5.066239793,4.931155745,4.852673249,4.776512609,4.741470226,4.724585563,4.721310148,4.729851083,4.760128529,4.792435065,4.815963,4.829407682
20070223,5.268919885,5.353671885,5.486986947,5.221335998,5.172317501,5.025289734,4.867259551,4.792416012,4.715333748,4.679881239,4.654903841,4.652576282,4.673062212,4.707188665,4.73919647,4.763048374,4.776774659
20070226,5.1477968,5.21315047,5.298699138,5.13455469,5.128902416,4.985674684,4.826295061,4.749829434,4.678970302,4.633425757,4.609763847,4.60865018,4.626582993,4.660528308,4.693924979,4.716992738,4.730718557
20070227,5.089989333,5.327148395,5.186276885,5.100069839,5.071183095,4.892159423,4.672793337,4.58725644,4.52058212,4.478285523,4.457912815,4.473561956,4.512878389,4.556125503,4.59286175,4.618287967,4.632894411
20070228,5.301216325,5.143450438,5.171385848,5.251556256,5.087543002,4.941301632,4.747880585,4.640670905,4.577963799,4.539456358,4.520846342,4.535571205,4.568781457,4.609588235,4.64422934,4.668664074,4.68266648
20070301,5.132734334,5.145099546,5.28123288,5.211580409,5.050342673,4.903327342,4.707041862,4.600746542,4.549549147,4.513077726,4.495870726,4.513223631,4.552906806,4.598328438,4.636112558,4.662605636,4.677605823
20070302,5.21910001,5.416112332,5.250358084,5.165854258,5.007115068,4.841144369,4.628238412,4.515991838,4.476523119,4.451351105,4.432501419,4.453568354,4.501226632,4.552907802,4.593990842,4.623490071,4.640250855
20070305,5.09520802,5.189245606,5.124982699,5.108119498,4.970943471,4.816031295,4.629194619,4.50749746,4.478204577,4.448154628,4.43597831,4.45572155,4.498177628,4.548926629,4.591116066,4.620295057,4.636392659
20070306,5.452414556,5.126691565,5.156402333,5.161142889,5.032352027,4.87799502,4.681707749,4.576778929,4.529252786,4.493207721,4.477885513,4.492595449,4.531251922,4.577417959,4.61722521,4.64483104,4.66058116
20070307,5.258222919,5.101941685,5.129429854,5.180013008,5.024896528,4.856820382,4.624293133,4.520912918,4.481045364,4.448313607,4.432001977,4.451613488,4.490235985,4.540493559,4.583386871,4.613571413,4.630805974
20070308,5.08621281,5.089412108,5.229136064,5.162962421,5.026845619,4.869859496,4.65649473,4.547425824,4.502701459,4.468393525,4.452856329,4.472888834,4.515496687,4.566540084,4.609360938,4.639365011,4.656311665
20070309,5.21744114,5.393222144,5.244699081,5.245091778,5.114054783,4.960714191,4.762128052,4.654432649,4.606708336,4.573568562,4.548089963,4.556440628,4.591027758,4.637087156,4.677099639,4.706405099,4.722804506
20070312,5.105777484,5.180103832,5.130213222,5.186331134,5.071276009,4.925331072,4.746057743,4.620396456,4.56473112,4.521361052,4.5020549,4.515421875,4.554669,4.605941633,4.650510641,4.681584764,4.698594357
20070313,5.407608421,5.067302091,5.103963372,5.172194163,5.039003139,4.862857494,4.625142115,4.505764148,4.454922684,4.416717592,4.40313468,4.434142221,4.494235204,4.556214437,4.605670107,4.639341394,4.658649644
20070314,5.226086456,5.05287908,5.088192704,5.203070534,5.061652759,4.894736873,4.657730722,4.550325372,4.495195364,4.463385545,4.45259484,4.484574871,4.53731615,4.598214683,4.64733834,4.681337932,4.700784782
20070315,5.055641468,5.04030774,5.189263386,5.185849626,5.06196125,4.904504946,4.683696446,4.568479995,4.50589679,4.470976695,4.459324168,4.487283539,4.539056042,4.597572684,4.645080256,4.678026826,4.696648104
20070316,5.159259395,5.319887168,5.183566175,5.235051004,5.098977567,4.928186756,4.696162372,4.574945034,4.515720339,4.484849759,4.466218434,4.492945381,4.547941406,4.603793368,4.646803394,4.677341062,4.694638367
20070319,5.050887384,5.110298937,5.071030317,5.177066984,5.069150682,4.920644688,4.734046509,4.608925286,4.556632369,4.512858443,4.494494373,4.516806916,4.566554972,4.621874433,4.666984298,4.697954698,4.714979995
20070320,5.401848253,5.053163216,5.093477226,5.194157981,5.083133252,4.926169752,4.716030952,4.602708701,4.530163174,4.487387079,4.473056971,4.498803123,4.552835785,4.612188487,4.661001531,4.694428179,4.713448416
20070321,5.2135317,5.04376527,5.077588418,5.180942151,5.034411389,4.864553677,4.62550921,4.521337095,4.470215405,4.439336779,4.430908889,4.473839412,4.539485709,4.609459621,4.66370408,4.700801761,4.722044674
20070322,5.060516958,5.054484505,5.198475552,5.163578011,5.035442907,4.881072643,4.6706843,4.565472354,4.514109971,4.483811985,4.476836203,4.518833193,4.58662046,4.658833953,4.715171661,4.753706335,4.775512662
20070323,5.19393268,5.459901187,5.221986471,5.200538408,5.059022931,4.899378817,4.694309488,4.589222637,4.540776577,4.521532889,4.512462733,4.55010937,4.615356365,4.686717853,4.742172115,4.781117438,4.803076777
